dataset,model,n_rows,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2,delta_r2,delta_mse,delta_mae
with duplicates,Random Forest,26970,14.01565302618614,1.5732066518567764,0.645242341520722,4.593991468941368,0.8268518594860228,0.8870448966396363,-0.24180255511891424,9.421661557244772,0.7463547923707536
with duplicates,KNN,26970,15.631014414762747,1.5855501585492222,0.6043550690733668,3.7768031456250224,0.5918206038264738,0.9071375746842367,-0.30278250561086995,11.854211269137725,0.9937295547227484
with duplicates,Decision Tree,26970,17.90184960472921,1.6111687252610798,0.5468767501338416,6.5889901630626815,1.0930992108819326,0.8379927194160264,-0.29111596928218475,11.312859441666529,0.5180695143791472
with duplicates,Ridge,26970,20.472771043871674,2.2681197361619816,0.48180278831555745,19.26678427085238,2.2150801674488667,0.5262765237051127,-0.044473735389555236,1.2059867730192941,0.05303956871311488
deduplicated,Random Forest,18391,10.789045699150394,1.1016304887500619,0.7339786342035841,1.990688229660945,0.45146547971881795,0.9560615463777485,-0.22208291217416443,8.79835746948945,0.6501650090312439
deduplicated,KNN,18391,11.348660690286914,1.0573329211058282,0.7201804217931937,0.0,0.0,1.0,-0.27981957820680625,11.348660690286914,1.0573329211058282
deduplicated,Decision Tree,18391,15.538991823341167,1.3244278362989588,0.6168610326425745,4.406986490435297,0.7692368054640157,0.9027290317796974,-0.2858679991371229,11.13200533290587,0.555191030834943
deduplicated,Ridge,18391,19.345789038960646,2.1794954598169105,0.522998292336559,17.528900519724985,2.1263414821753597,0.6131022572700018,-0.09010396493344275,1.8168885192356612,0.05315397764155083
