cutoff,model,objective,threshold,mae,average_precision,n_test,n_positives,best_params
2018,Ridge,average_precision,10.268,1.5370149769732713,0.3048969145764985,2562,97,"{'regressor__alpha': 0.1, 'regressor__fit_intercept': True}"
2018,KNN,mae,10.268,1.307343725162424,0.20863881088224756,2562,97,"{'regressor__n_neighbors': 10, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2018,KNN,average_precision,10.268,1.3251176342827504,0.2141127285753566,2562,97,"{'regressor__n_neighbors': 15, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2018,Decision Tree,mae,10.268,1.4714821731701258,0.15985772431108622,2562,97,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}"
2018,Decision Tree,average_precision,10.268,1.4714821731701258,0.15985772431108622,2562,97,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}"
2018,Linear Regression,mae,10.268,1.5349544354449995,0.3032694217509701,2562,97,"{'regressor__fit_intercept': True, 'regressor__positive': False}"
2018,Linear Regression,average_precision,10.268,1.5349544354449995,0.3032694217509701,2562,97,"{'regressor__fit_intercept': True, 'regressor__positive': False}"
2019,Random Forest,mae,10.02,1.010215746790385,0.5291092892632142,1628,46,"{'regressor__bootstrap': True, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}"
2019,Random Forest,average_precision,10.02,1.019619642004667,0.5142026039443497,1628,46,"{'regressor__bootstrap': True, 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 200}"
2019,Poly Ridge,mae,10.02,1.3369906310360065,0.6172652463090187,1628,46,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': True}"
2019,Poly Ridge,average_precision,10.02,1.3902248054620465,0.39057854522515434,1628,46,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': False}"
2019,Ridge,mae,10.02,1.3739546901052913,0.3446196500452899,1628,46,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': False}"
2019,Ridge,average_precision,10.02,1.35054011397792,0.3850442001302827,1628,46,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': False}"
2019,KNN,mae,10.02,1.0820042542706219,0.36856667828291434,1628,46,"{'regressor__n_neighbors': 10, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2019,KNN,average_precision,10.02,1.1249169296868615,0.2746236472442373,1628,46,"{'regressor__n_neighbors': 20, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2019,Decision Tree,mae,10.02,1.0810591710756745,0.2588080348053877,1628,46,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}"
2019,Decision Tree,average_precision,10.02,1.0810591710756745,0.2588080348053877,1628,46,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}"
2019,Linear Regression,mae,10.02,1.355275072416943,0.3761967183363245,1628,46,"{'regressor__fit_intercept': True, 'regressor__positive': False}"
2019,Linear Regression,average_precision,10.02,1.355275072416943,0.3761967183363245,1628,46,"{'regressor__fit_intercept': True, 'regressor__positive': False}"
2020,Random Forest,mae,10.0,1.079388892189339,0.23892817996592663,873,22,"{'regressor__bootstrap': True, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}"
2020,Random Forest,average_precision,10.0,1.1720935688687768,0.2586789123060948,873,22,"{'regressor__bootstrap': False, 'regressor__max_depth': None, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 200}"
2020,Poly Ridge,mae,10.0,1.414070814904369,0.2632138123137378,873,22,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': True}"
2020,Poly Ridge,average_precision,10.0,1.3427910370501246,0.21845443679966187,873,22,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': True}"
2020,Ridge,mae,10.0,1.3282838696809398,0.26104205081753645,873,22,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': False}"
2020,Ridge,average_precision,10.0,1.3453706397602736,0.2655330120661311,873,22,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': False}"
2020,KNN,mae,10.0,1.0706054417052233,0.24814872972862267,873,22,"{'regressor__n_neighbors': 10, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2020,KNN,average_precision,10.0,1.0933751176452193,0.2062589545463244,873,22,"{'regressor__n_neighbors': 20, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2020,Decision Tree,mae,10.0,1.29750427999805,0.14368267980780394,873,22,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2}"
2020,Decision Tree,average_precision,10.0,1.4051811528035634,0.14596202540481115,873,22,"{'regressor__ccp_alpha': 0.001, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}"
2020,Linear Regression,mae,10.0,1.336783807057848,0.26596065481389053,873,22,"{'regressor__fit_intercept': False, 'regressor__positive': False}"
2020,Linear Regression,average_precision,10.0,1.337849537964084,0.26136304906667646,873,22,"{'regressor__fit_intercept': True, 'regressor__positive': False}"
