cutoff,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
2016,Linear trend baseline,squared_error,5017,73.78019501216474,21.730538399763883,52.04965661240087,25.757798949228864,83.37199690515253,3902856.5,1.294077882371213e-46,False,True
2016,Linear trend baseline,absolute_error,5017,2.3387179118983976,1.706067764135193,0.6326501477632044,0.4693543999105705,0.8167519754405248,3731443.5,1.5374748780416905e-59,False,True
2016,KNN,squared_error,5017,19.43058712190904,21.730538399763883,-2.299951277854844,-4.385563289806098,-0.3641254215796088,3610622.0,2.63875768598745e-13,True,False
2016,KNN,absolute_error,5017,1.7905960154602307,1.706067764135193,0.08452825132503779,0.021028455072886025,0.14669827514294795,3534467.5,8.494118522919487e-17,False,True
2016,Neural Network,squared_error,5017,26.01303359489635,21.730538399763883,4.282495195132465,2.098475857784506,6.409323699813351,2134472.0,0.0,False,True
2016,Neural Network,absolute_error,5017,3.257971257788831,1.706067764135193,1.5519034936536382,1.472639414335671,1.6316086204064024,1777165.0,0.0,False,True
2016,SVM,squared_error,5017,20.801296569364837,21.730538399763883,-0.9292418303990465,-3.414275576006567,1.5778389075481623,5146602.0,5.011863274115742e-29,False,False
2016,SVM,absolute_error,5017,1.8161113471695312,1.706067764135193,0.11004358303433795,0.0385132745984498,0.18373643367768888,4984368.0,2.6398213266110133e-37,False,True
2016,Linear Regression,squared_error,5017,23.243848069883178,21.730538399763883,1.5133096701192945,-1.3189203052208667,4.39237159593445,3588622.0,3.282284848191992e-153,False,False
2016,Linear Regression,absolute_error,5017,2.351007962811514,1.706067764135193,0.6449401986763208,0.5537482143437303,0.7358101571791956,3298159.0,2.0554547258769098e-187,False,True
2016,Decision Tree,squared_error,5017,31.35082531899337,21.730538399763883,9.620286919229489,6.665326886795108,12.634184770321346,3956329.5,4.317456000703122e-80,False,True
2016,Decision Tree,absolute_error,5017,2.2644106065136267,1.706067764135193,0.5583428423784333,0.4673596891524492,0.6532797038282802,3598438.0,8.929890818228285e-114,False,True
2016,Random Forest,squared_error,5017,18.859817606486256,21.730538399763883,-2.870720793277629,-4.3489909969628044,-1.440664898804995,4656884.0,3.550120714389412e-49,True,False
2016,Random Forest,absolute_error,5017,1.7818447700237912,1.706067764135193,0.07577700588859788,0.0236717766174507,0.12778688287055,3845726.5,5.391713690743171e-115,False,True
2016,Ridge,squared_error,5017,23.115407630195495,21.730538399763883,1.3848692304316141,-1.4278375399635317,4.254278767359561,3578639.0,2.502197176496206e-154,False,False
2016,Ridge,absolute_error,5017,2.3537698732881247,1.706067764135193,0.6477021091529319,0.5571943666698437,0.73790947659322,3288241.5,1.2125509625398713e-188,False,True
2016,Poly Ridge,squared_error,5017,21.47862026129465,21.730538399763883,-0.2519181384692317,-2.312848543267076,1.7531151430072074,3259710.0,3.3487527191515363e-192,False,False
2016,Poly Ridge,absolute_error,5017,2.373809824564688,1.706067764135193,0.6677420604294949,0.5928503923163354,0.7429427547102808,2910376.0,1.700127994191694e-238,False,True
2017,Linear trend baseline,squared_error,3795,90.60771551558024,19.754797098520356,70.85291841705991,36.041916735323014,113.35794619306834,2369197.5,4.2009467618706065e-47,False,True
2017,Linear trend baseline,absolute_error,3795,2.428909615961034,1.6216304035784719,0.8072792123825623,0.5911150328399466,1.0561381864047343,2297021.0,1.2958721989985885e-54,False,True
2017,KNN,squared_error,3795,18.308555366262606,19.754797098520356,-1.4462417322577508,-3.9732139850166046,0.8317459859130334,1873788.0,2.2558931052132145e-13,False,False
2017,KNN,absolute_error,3795,1.725965609081179,1.6216304035784719,0.10433520550270699,0.02995286650007299,0.17970779058560207,1900335.0,1.3149291165551725e-11,False,True
2017,Neural Network,squared_error,3795,20.45861961005533,19.754797098520356,0.703822511534975,-1.7012010977855978,2.915753593034292,1683252.0,1.2387843462535084e-177,False,False
2017,Neural Network,absolute_error,3795,2.4196119479032503,1.6216304035784719,0.7979815443247783,0.7194509136621738,0.8745515086645049,1395110.0,2.4748855476039275e-234,False,True
2017,SVM,squared_error,3795,18.19292712236781,19.754797098520356,-1.5618699761525476,-4.7107270928762,1.4399328742159672,2998390.0,4.104713364174053e-19,False,False
2017,SVM,absolute_error,3795,1.6772015093749695,1.6216304035784719,0.05557110579649767,-0.029889852557815035,0.14067895629986063,2883980.0,2.183448055106651e-26,False,False
