bootstrap,max_features,max_depth,mse_mean,mae_mean,r2_mean,r2_std,n_cutoffs
True,log2,None,11.53463173454902,1.4375524012978793,0.3831207148277575,0.056345066306088605,5
True,sqrt,None,11.658397965701779,1.4225740167863625,0.37617949310393267,0.07127988890874001,5
False,log2,None,11.811636288754688,1.4063444007601709,0.36728692082960224,0.07698925493825792,5
False,sqrt,None,12.012437421291642,1.3869763756074687,0.3554995779140037,0.07212990995158576,5
False,sqrt,30,12.033261933742304,1.6341730130640328,0.354583540727342,0.03885992709067726,5
True,sqrt,30,12.128571728347117,1.6384264627191674,0.3527654182042785,0.03371706135349406,5
False,log2,30,12.777099300594736,1.831054339060676,0.31527513640593147,0.03823816864469559,5
False,sqrt,20,12.730941611197034,1.7817955155737593,0.3147542533281352,0.03955693593465028,5
True,log2,30,12.969574563831078,1.8413345639308634,0.3053400163657808,0.02960052391190724,5
True,sqrt,20,13.0235002552193,1.8115532071848466,0.297313639590535,0.04347580241439293,5
True,0.5,30,13.857720194639034,1.5559291954779546,0.261431869030396,0.05357295033609178,5
True,0.5,20,13.795063140747427,1.6623420513093166,0.25672428922063073,0.049118719643323684,5
True,0.5,10,13.73514230642886,1.7675639794040645,0.2494913963658439,0.06487739491844062,5
False,log2,20,14.065015453240658,2.05608071336136,0.24082201739125414,0.04432274246296123,5
True,0.5,None,14.024662314965349,1.481551106621678,0.2398835480575358,0.08387890650540485,5
False,0.5,10,14.00366885383887,1.7602808033926962,0.23308741979395337,0.0701134646727529,5
True,log2,20,14.348912787784432,2.069167450347373,0.22899257026527192,0.03472845683736828,5
False,sqrt,10,14.868335460663735,2.1308792989639342,0.19684854648118422,0.04877526956313987,5
True,sqrt,10,15.081187999948316,2.142942397477951,0.18596193244668066,0.04862347036891301,5
True,None,10,14.578425007240375,1.7942005402665102,0.18530431017976373,0.12769344377901246,5
True,None,20,15.096565343532802,1.752337247643985,0.17460463243520558,0.08703048708561407,5
True,None,30,15.281393727718143,1.621151750630537,0.15958476312558564,0.12235707692975005,5
False,0.5,20,15.85483734591466,1.7073681030389296,0.1483867714245975,0.08417154933111086,5
False,0.5,30,16.245325044198903,1.5963078901630678,0.1422481891210132,0.10192559830579305,5
False,0.5,None,16.39153824163984,1.4944564013476316,0.12084086804052097,0.10154644828412512,5
True,None,None,15.766515335385762,1.5506518182455453,0.11924588203389411,0.18411068607513636,5
False,None,10,16.163623571917604,1.8048345000282329,0.11320786674653885,0.11542255962147484,5
True,log2,10,16.535852718470885,2.3940221106419757,0.10294235826426587,0.062370154048651934,5
False,log2,10,16.490001255716344,2.398198733133804,0.10266468196654455,0.06843870188707368,5
False,None,20,18.836343578739157,1.8388380606248247,0.004518175035310335,0.09603815556977409,5
False,None,30,19.67283986323958,1.7105543969583863,-0.09842862262219014,0.2746915824179009,5
False,None,None,20.733312659674496,1.6020426046040679,-0.17761955298220825,0.3014517296203805,5
