split,observed_difference,ci_low,ci_high,beats_baseline,model
1499,-0.0323,-0.0694,-0.0005,False,SVM
1499,0.0157,-0.0314,0.0567,False,SVM
1499,-0.0054,-0.0822,0.0689,False,SVM
1499,-0.1207,-0.2333,0.0148,False,SVM
1499,-0.0889,-0.215,0.0657,False,SVM
