model,n_seen,n_unseen,mse_seen,mse_unseen,r2_seen,r2_unseen,target_var_seen,target_var_unseen
Random Forest,2387,3007,14.77025930516101,13.416635670711244,0.45640587923553455,0.7205792204154031,27.18287252568515,48.03185710090504
KNN,2387,3007,17.62141372535238,14.051006714603966,0.35147401932796396,0.7073675289019075,27.18287252568515,48.03185710090504
Decision Tree,2387,3007,15.691915083181751,19.656127523895755,0.42248591534393165,0.5906328075725378,27.18287252568515,48.03185710090504
Ridge,2387,3007,17.17239242982415,23.092659222033102,0.36799947980257464,0.5190620807727534,27.18287252568515,48.03185710090504
