split,observed_difference,ci_low,ci_high,beats_baseline,model
1499,-0.05,-0.0829,-0.0181,False,KNN
1499,-0.0361,-0.0783,0.0015,False,KNN
1499,-0.063,-0.1157,-0.0095,False,KNN
1499,-0.1372,-0.2701,-0.0251,False,KNN
1499,-0.0105,-0.1447,0.1066,False,KNN
