fold,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
1,Linear trend baseline,squared_error,5394,43.40903981806846,43.456905257061784,-0.047865438993326716,-0.07512300758471811,-0.021276519361592163,7096113.0,0.11748942998823711,True,False
1,Linear trend baseline,absolute_error,5394,3.7322434169784304,3.731601655579959,0.000641761398470783,-0.0015760407823495037,0.0028402469518594787,7109198.0,0.14667195124932883,False,False
1,KNN,squared_error,5394,32.66761572409887,43.456905257061784,-10.789289532962913,-12.97345998623435,-8.713693994190209,4161489.0,3.460152945173168e-163,True,False
1,KNN,absolute_error,5394,2.733249260382324,3.731601655579959,-0.9983523951976354,-1.0840271001558752,-0.9123667812755414,3825999.5,8.841543008154322e-200,True,False
1,Neural Network,squared_error,5394,30.59352097694338,43.456905257061784,-12.863384280118401,-15.447870871512988,-10.338154873996311,3910586.0,3.361073357775828e-190,True,False
1,Neural Network,absolute_error,5394,2.642054131197776,3.731601655579959,-1.0895475243821833,-1.1830307311845274,-0.9957039530004596,3568260.0,2.0065211223756715e-230,True,False
1,SVM,squared_error,5394,30.004943555819587,43.456905257061784,-13.451961701242197,-15.528119624758734,-11.453854581429372,3773645.0,7.980042803106338e-206,True,False
1,SVM,absolute_error,5394,2.69143421657515,3.731601655579959,-1.0401674390048095,-1.1181346489924073,-0.9631395413248294,3601302.0,2.2616856404312213e-226,True,False
1,Linear Regression,squared_error,5394,38.55974480409914,43.456905257061784,-4.897160452962649,-7.2853460696254615,-2.557849713838596,5048423.0,2.0317295590394373e-84,True,False
1,Linear Regression,absolute_error,5394,3.145607877772256,3.731601655579959,-0.585993777807703,-0.6806773820385467,-0.49162168256914085,4877193.5,1.3531325439395856e-97,True,False
1,Decision Tree,squared_error,5394,32.644369711856896,43.456905257061784,-10.81253554520489,-13.90437260881014,-7.699498922269468,3779795.0,4.03936979294953e-205,True,False
1,Decision Tree,absolute_error,5394,2.583754313373013,3.731601655579959,-1.1478473422069462,-1.2590305815007765,-1.0325997994454268,3378979.0,2.3393696181954862e-254,True,False
1,Random Forest,squared_error,5394,29.28987694222023,43.456905257061784,-14.16702831484156,-16.517916591165978,-11.88443148614152,4147594.0,1.2554718672313089e-164,True,False
1,Random Forest,absolute_error,5394,2.761282788308652,3.731601655579959,-0.9703188672713072,-1.0574869565259286,-0.8838091155325116,3795663.5,2.85855426364429e-203,True,False
1,Ridge,squared_error,5394,35.57714519383453,43.456905257061784,-7.879760063227251,-10.147961077158271,-5.671097620631589,4964534.0,9.41313469371175e-91,True,False
1,Ridge,absolute_error,5394,3.12984998871918,3.731601655579959,-0.6017516668607796,-0.6961204778145166,-0.5094454202280371,4837900.5,9.346793192282011e-101,True,False
1,Poly Ridge,squared_error,5394,32.103224129157695,43.456905257061784,-11.353681127904084,-13.809792484583046,-8.96791599873652,5139331.0,8.107676257746831e-78,True,False
1,Poly Ridge,absolute_error,5394,3.079580824390391,3.731601655579959,-0.6520208311895682,-0.742434440144504,-0.5618352040177035,5020506.5,1.6821605804371273e-86,True,False
2,Linear trend baseline,squared_error,5394,41.23839135015922,41.17671387004033,0.06167748011889185,0.00373925133954765,0.11987729015605979,7160634.0,0.3166880671893494,False,True
2,Linear trend baseline,absolute_error,5394,3.8154716196842573,3.8164073430559213,-0.0009357233716637752,-0.005828610703326556,0.0038098437228805022,7115212.5,0.1619038574102012,False,False
2,KNN,squared_error,5394,26.49892211992167,41.17671387004033,-14.677791750118654,-17.301798324478764,-12.154334110889781,3234337.0,2.0786071759127802e-273,True,False
2,KNN,absolute_error,5394,2.4323472929083554,3.8164073430559213,-1.3840600501475657,-1.4665882883549444,-1.3006840454223465,2666512.5,0.0,True,False
2,Neural Network,squared_error,5394,28.67620485001372,41.17671387004033,-12.500509020026607,-15.657744334839558,-9.425132902169551,3511628.0,1.8769659459017237e-237,True,False
2,Neural Network,absolute_error,5394,2.5351709951439414,3.8164073430559213,-1.2812363479119797,-1.3940152017576315,-1.1689089615949144,3096944.5,3.650708826784889e-292,True,False
2,SVM,squared_error,5394,27.94148127074588,41.17671387004033,-13.23523259929444,-15.475464984488301,-11.073768439988816,3868693.0,6.496200533535986e-195,True,False
2,SVM,absolute_error,5394,2.689680381723313,3.8164073430559213,-1.126726961332608,-1.2097733905728558,-1.045396784331668,3370328.5,1.8698763988859763e-255,True,False
2,Linear Regression,squared_error,5394,29.165186677503858,41.17671387004033,-12.011527192536464,-14.563783744098599,-9.587295751623797,3983737.0,4.148879514146774e-182,True,False
2,Linear Regression,absolute_error,5394,2.8335221769883794,3.8164073430559213,-0.9828851660675416,-1.078690542333424,-0.8886221976360299,3675077.5,1.865699879839036e-217,True,False
2,Decision Tree,squared_error,5394,41.76591198934334,41.17671387004033,0.5891981193030111,-2.8868679911753117,4.004532678263459,3989521.0,1.6906246736669073e-181,False,False
2,Decision Tree,absolute_error,5394,2.8802044345992774,3.8164073430559213,-0.936202908456644,-1.0586263028269416,-0.8124062050555465,3331742.0,1.5730768909502134e-260,True,False
2,Random Forest,squared_error,5394,24.766751714739673,41.17671387004033,-16.40996215530065,-18.988409678513026,-13.92888952413214,3482541.0,4.186937081776058e-241,True,False
2,Random Forest,absolute_error,5394,2.4863781933216433,3.8164073430559213,-1.330029149734278,-1.4180608561184136,-1.2438395518335987,2903395.0,0.0,True,False
