cutoff,model,weighting,mae_all,r2_all,n_sparse,mae_sparse,r2_sparse,mae_well_represented,r2_well_represented
2016,Random Forest,unweighted,1.7818447700237912,0.3950658993746242,281,5.562699342005281,0.08421834566783504,1.5575161942791123,0.42257090499199856
2016,Random Forest,inverse frequency,1.8665150251244398,0.3603132435468166,281,5.807336291614965,0.04166534858770854,1.632695182243562,0.38799961656096127
2016,Ridge,unweighted,2.3537698732881247,0.2585666194061106,281,6.104113856014669,0.060751319821115146,2.1312515753265204,0.26680279716665634
2016,Ridge,inverse frequency,2.6836093199508393,0.16178324811279288,281,5.698629111329755,0.1744185460194686,2.504719843308636,0.1382344554174475
2016,Linear Regression,unweighted,2.351007962811514,0.2544468551810487,281,6.127095652880148,0.022539503923714954,2.126962219376276,0.26731735142131907
2016,Linear Regression,inverse frequency,2.5840484384683218,0.1562397207064179,281,5.879302085391243,0.06627884874343082,2.3885319108531737,0.14681558280736617
2017,Random Forest,unweighted,1.7448124107381129,0.3543309110922068,153,6.208480291871772,-0.1379300664011467,1.5572942378074566,0.3832252550313786
2017,Random Forest,inverse frequency,1.804305357224914,0.3408114207530979,153,6.122582336244051,-0.0731795428859372,1.6228950393254282,0.361328455114832
2017,Ridge,unweighted,2.1805828365588127,0.23772364824819836,153,5.42858370831692,0.07899026780398155,2.0441346944997814,0.2289991740635554
2017,Ridge,inverse frequency,2.5273737620540047,0.12832885943861516,153,5.294592798981419,0.14467821452475726,2.411123209431848,0.09828776249752147
2017,Linear Regression,unweighted,2.1826310693216993,0.22992907846297517,153,5.5912991317105405,-0.010726524280533667,2.0394333171126133,0.2292582478830767
2017,Linear Regression,inverse frequency,2.4671404186315913,0.08381887895063778,153,5.812872560524525,-0.0428930707557964,2.326586597184689,0.0668358089173614
2018,Random Forest,unweighted,1.2932999985279068,0.3289337535211574,66,5.572127451871934,0.2546843863678335,1.1801579264442907,0.3055654625916183
2018,Random Forest,inverse frequency,1.30001529747881,0.3455572123022943,66,5.511187268530435,0.30833285035784064,1.188662192475041,0.31630905750253
2018,Ridge,unweighted,1.5370149769732713,0.329517496111149,66,5.812842571615108,0.17654531710885246,1.423952228076492,0.32063184930433486
2018,Ridge,inverse frequency,1.8435297015415204,0.2475771887212792,66,5.490246579400314,0.25314099505297216,1.7471020917904463,0.20507289295931563
2018,Linear Regression,unweighted,1.5349544354449995,0.3216874317336724,66,5.983709996969358,0.10102500815568904,1.4173190720393074,0.324795402045271
2018,Linear Regression,inverse frequency,1.7681176440084563,0.2518762776287471,66,6.558133157311843,0.004554926031630213,1.641458579954761,0.2560289274694506
2019,Random Forest,unweighted,1.0177941913496926,0.445678139565889,40,6.782819659234841,0.11519890564759871,0.8725794440477999,0.45221841977439026
2019,Random Forest,inverse frequency,1.0116679034517806,0.4701923910346416,40,6.553963875351931,0.22852608581809375,0.8720634709102151,0.45371738277064677
2019,Ridge,unweighted,1.3580988402570116,0.33444975528578424,40,7.610220850796821,-0.017576821367619067,1.2006146586313236,0.3285911609747044
2019,Ridge,inverse frequency,1.6423834420631735,0.2886404787742213,40,7.716864839229466,0.028440106082029182,1.489373835081655,0.24683189669487016
2019,Linear Regression,unweighted,1.355275072416943,0.32064878225158056,40,7.8228340812731165,-0.1148124447641592,1.1923642661485254,0.33798806924506564
2019,Linear Regression,inverse frequency,1.5977890501170693,0.23823976295194993,40,8.69024802038742,-0.2742603302989628,1.4191376906644158,0.2650992204154241
2020,Random Forest,unweighted,1.0971305073978388,0.253489186016141,30,4.526023287197497,0.07267327294964021,0.9751058533124416,0.2502967720038578
2020,Random Forest,inverse frequency,1.1111674289759537,0.33295001636724975,30,5.276075826496659,0.07253726354881906,0.9629500482812667,0.3586115371067946
2020,Ridge,unweighted,1.3562028992603519,0.2474146566387695,30,4.787871141284416,0.11596884400297236,1.234079474277289,0.22952964258565622
2020,Ridge,inverse frequency,1.7214690663360928,0.11982366816945667,30,5.722194909542527,-0.08830682068323559,1.579094481168604,0.11459960267609837
2020,Linear Regression,unweighted,1.337849537964084,0.2686998036500221,30,4.755195527994749,0.11206249520480216,1.2162358016640604,0.2596602683188174
2020,Linear Regression,inverse frequency,1.6312718259367196,0.08425529933645848,30,6.3121462341871775,-0.3067441919354126,1.4646926655007604,0.12914747110879343
