split,observed_difference,ci_low,ci_high,beats_baseline,model
1499,-0.1359,-0.1816,-0.0899,False,Ridge
1499,-0.0759,-0.1279,-0.0251,False,Ridge
1499,0.0223,-0.0466,0.08,False,Ridge
1499,-0.1454,-0.3062,0.0021,False,Ridge
1499,0.0069,-0.1745,0.1641,False,Ridge
